code,name,category,water_g,protein_g,ash_g,fat_g,fibre_total_g,carbs_g,energy_kcal
K002,Coconut Water,Milk and Milk Products,20.28,5.13,10.81,31.01,1.97,1.57,
N010,"Country hen, wing, with skin",Poultry,27.52,0.61,0.57,0.08,0.01,31.65,
O008,"Goat, liver",Marine Fish,18.0,0.26,0.44,0.12,0.01,48.12,13.2
O009,"Goat, tripe",Marine Fish,13.0,0.07,0.15,0.01,59.2,22.38,0.4
O010,"Goat, spleen",Marine Fish,15.3,0.03,0.05,0.01,0.01,48.55,12.5
O021,"Sheep, liver",Marine Fish,17.91,0.28,0.16,0.15,0.02,43.38,13.3
O022,"Sheep, tripe",Marine Fish,17.81,0.16,0.19,0.01,55.61,18.37,0.5
O023,"Sheep, spleen",Marine Fish,0.16,0.92,0.0,11.49,0.01,53.11,0.0
O024,"Sheep, kidneys",Marine Fish,17.46,0.69,0.61,0.02,0.01,127.0,39.0
O033,"Beef, tripe",Marine Fish,9.33,0.03,0.08,0.01,60.17,41.0,0.5
O034,"Beef, spleen",Marine Fish,15.8,0.03,0.11,0.05,0.01,37.55,14.1
O043,"Calf, spleen",Marine Fish,18.95,0.04,0.11,0.08,0.01,41.33,16.2
O044,"Calf, kidneys",Marine Fish,17.35,0.06,1.33,0.01,0.01,91.31,41.6
O053,"Pork, liver",Marine Fish,16.59,0.17,0.92,0.13,0.01,33.49,15.5
O055,"Pork, spleen",Marine Fish,16.08,0.03,0.18,0.01,0.01,37.25,11.7
P045,Padayappa,Freshwater Fish / Crustaceans,6.3,6.06,13.85,15.76,6.4,3.55,
P083,Tilapia,Freshwater Fish / Crustaceans,0.86,0.65,99.39,0.03,0.0,0.01,
Q001,C r a b,Molluscs,1.4,0.13,0.01,128.0,0.05,1.1,0.0
R003,Octopus,Edible Oils and Fats,50.92,0.04,1.37,0.0,0.01,40.21,55.0
